league,league_name,market,n,logloss_poisson,brier_poisson,logloss_ml,brier_ml
F1,Ligue 1,over_1.5,153,0.6457409595837663,0.2215045900233266,0.6371744378031022,0.21909851673724112
F1,Ligue 1,over_2.5,153,0.7186584421688716,0.2605674465711687,0.704778089759856,0.2547629483224615
F1,Ligue 1,over_3.5,153,0.6294757328172139,0.2198108381168155,0.6271477468213672,0.21812345381858073
F1,Ligue 1,under_0.5,153,0.2040852407312123,0.05005331368251218,0.204347601771803,0.04972468653875306
F1,Ligue 1,under_1.5,153,0.6457409595837664,0.2215045900233266,0.6371744378031022,0.2190985167372411
F1,Ligue 1,under_2.5,153,0.7186584421688716,0.2605674465711687,0.704778089759856,0.2547629483224615
F1,Ligue 1,under_3.5,153,0.6294757328172139,0.2198108381168155,0.6271477468213672,0.21812345381858073
F2,Ligue 2,1x2_away,161,0.6649401984887864,0.23261248027326345,0.6515059819694067,0.22825484350905456
F2,Ligue 2,1x2_draw,161,0.605325673545467,0.2065921557246525,0.5986975601593568,0.20424124500741245
F2,Ligue 2,1x2_home,161,0.7040126151817336,0.2548124861934479,0.6750417215343855,0.2403297145359684
F2,Ligue 2,btts_no,161,0.7020574867324558,0.2545052976976526,0.706474499255289,0.25652061468728193
F2,Ligue 2,btts_yes,161,0.7020574867324558,0.2545052976976526,0.706474499255289,0.25652061468728193
F2,Ligue 2,dc_12,161,0.605325673545467,0.2065921557246525,0.5986975601593569,0.2042412450074125
F2,Ligue 2,dc_1x,161,0.6649401984887865,0.2326124802732635,0.6515059819694067,0.22825484350905456
F2,Ligue 2,dc_2x,161,0.7040126151817336,0.2548124861934479,0.6750417215343854,0.2403297145359684
F2,Ligue 2,over_0.5,161,0.25877383045541036,0.06801034721350856,0.2630950139353961,0.06860722972549248
F2,Ligue 2,over_1.5,161,0.6632200715542859,0.23176314461750058,0.6381945903915643,0.22320665135004913
F2,Ligue 2,over_2.5,161,0.709963194338225,0.258256087762605,0.7053236661386597,0.25576549396316955
F2,Ligue 2,over_3.5,161,0.6254888604494107,0.21557103018960302,0.6317212170372939,0.21469578225597963
F2,Ligue 2,under_0.5,161,0.25877383045541036,0.06801034721350858,0.26309501393539597,0.06860722972549248
F2,Ligue 2,under_1.5,161,0.6632200715542859,0.23176314461750064,0.6381945903915643,0.22320665135004913
F2,Ligue 2,under_2.5,161,0.709963194338225,0.258256087762605,0.7053236661386597,0.25576549396316955
F2,Ligue 2,under_3.5,161,0.6254888604494107,0.215571030189603,0.6317212170372939,0.21469578225597963
G1,Greece Super League,1x2_away,111,0.5379394746822296,0.18384368401866524,0.5335233422236778,0.1821634843309748
G1,Greece Super League,1x2_draw,111,0.5400736381586573,0.17655465964119552,0.5383310269426435,0.17617502310481808
G1,Greece Super League,1x2_home,111,0.5631158872055045,0.1877925707559335,0.5515210858881563,0.1824708813057307
G1,Greece Super League,btts_no,111,0.6763228801580252,0.2417082546685451,0.6746859473497884,0.24094391589366462
G1,Greece Super League,btts_yes,111,0.6763228801580252,0.2417082546685451,0.6746859473497883,0.24094391589366457
G1,Greece Super League,dc_12,111,0.5400736381586574,0.17655465964119552,0.5383310269426435,0.1761750231048181
G1,Greece Super League,dc_1x,111,0.5379394746822296,0.18384368401866524,0.5335233422236777,0.1821634843309748
G1,Greece Super League,dc_2x,111,0.5631158872055045,0.1877925707559335,0.5515210858881562,0.18247088130573066
G1,Greece Super League,over_0.5,111,0.1781508307259503,0.04280322774244345,0.17864045596756828,0.04285929996556463
G1,Greece Super League,over_1.5,111,0.5006430023354109,0.16339087150368142,0.5007927841168855,0.16336601837507117
G1,Greece Super League,over_2.5,111,0.687700999383713,0.24616742794509294,0.6819705790583506,0.24338950596362716
G1,Greece Super League,over_3.5,111,0.5754559325689594,0.19357427106625455,0.5457263455707492,0.18038240947102113
G1,Greece Super League,under_0.5,111,0.17815083072595028,0.04280322774244344,0.1786404559675682,0.04285929996556463
G1,Greece Super League,under_1.5,111,0.5006430023354109,0.16339087150368142,0.5007927841168854,0.16336601837507117
